EmpID,Age,JobLevel,MonthlyIncome,TotalWorkingYears,YearsAtCompany
RM297,18,1,1420,0,0
RM302,18,1,1200,0,0
RM458,18,1,1878,0,0
RM728,18,1,1051,0,0
RM829,18,1,1904,0,0
RM973,18,1,1611,0,0
RM1154,18,1,1569,0,0
RM1312,18,1,1514,0,0
RM128,19,1,1675,0,0
RM150,19,1,1483,1,1
RM172,19,1,2325,1,0
RM178,19,1,1102,1,1
RM423,19,1,2564,1,1
RM689,19,1,2121,1,1
RM854,19,1,2552,1,1
RM893,19,1,1859,1,1
RM910,19,1,2994,1,1
RM103,20,1,2926,1,1
RM488,20,1,2836,1,1
RM514,20,1,1009,1,1
RM663,20,1,2044,2,2
RM690,20,1,2973,1,1
RM732,20,1,2600,1,1
RM777,20,1,2323,2,2
RM857,20,1,3033,2,2
RM877,20,1,2678,2,2
RM1179,20,1,2783,2,2
RM1198,20,1,2728,2,2
RM024,21,1,1232,0,0
RM275,21,1,3230,3,3
RM358,21,1,2174,3,3
RM363,21,1,2610,3,3
RM371,21,1,2716,1,1
RM497,21,1,3447,3,3
RM664,21,1,2693,1,1
RM778,21,1,1416,1,1
RM816,21,1,2070,2,2
RM916,21,1,2625,2,2
RM1153,21,1,3117,3,2
RM1272,21,1,2679,1,1
RM1437,21,1,2380,2,2
RM018,22,1,2935,1,1
RM110,22,1,2871,1,0
RM129,22,1,2523,3,2
RM161,22,1,2323,2,2
RM207,22,1,2328,4,4
RM384,22,1,2244,2,2
RM444,22,1,3894,4,2
RM499,22,1,2773,3,2
RM631,22,2,4775,4,2
RM667,22,2,4171,4,3
RM735,22,1,2451,4,4
RM861,22,1,2853,1,0
RM1138,22,1,2814,4,4
RM1274,22,1,2398,1,1
RM1340,22,1,2472,1,1
RM1424,22,1,3375,4,3
RM087,23,1,2322,3,0
RM346,23,1,2904,4,4
RM517,23,1,2819,5,3
RM551,23,1,2500,5,4
RM566,23,1,3505,2,2
RM586,23,1,1601,1,0
RM911,23,1,1223,1,1
RM1083,23,2,2272,5,4
RM1128,23,1,2073,4,2
RM1202,23,1,3989,5,5
RM1214,23,1,2275,3,3
RM1239,23,1,3295,3,3
RM1409,23,1,2647,5,5
RM1439,23,1,1790,1,1
RM021,24,2,4011,5,4
RM035,24,1,2293,6,2
RM097,24,2,4999,4,3
RM114,24,1,2774,6,5
RM381,24,2,4260,5,5
RM415,24,1,3202,6,5
RM471,24,1,2400,3,2
RM475,24,1,2725,6,6
RM477,24,1,2127,1,1
RM480,24,1,2886,6,6
RM526,24,2,4577,4,2
RM587,24,1,2694,1,1
RM641,24,1,3162,6,5
RM725,24,2,4377,5,4
RM842,24,1,3597,6,4
RM872,24,1,2210,1,1
RM1026,24,2,4162,5,5
RM1061,24,1,3172,4,0
RM1062,24,1,2033,1,1
RM1098,24,1,2296,2,1
RM1169,24,1,3760,6,6
RM1218,24,1,4401,5,5
RM1223,24,1,1555,1,1
RM1231,24,1,3907,6,6
RM1246,24,1,2145,3,2
RM1408,24,2,4617,4,4
RM108,25,2,5744,6,6
RM109,25,1,2889,2,2
RM139,25,2,8639,6,2
RM256,25,2,4898,5,4
RM268,25,2,4000,6,6
RM398,25,2,4487,5,5
RM406,25,1,4031,6,2
RM479,25,1,2096,7,7
RM518,25,2,4851,4,3
RM564,25,2,6180,6,6
RM619,25,1,3424,6,4
RM635,25,2,4194,5,5
RM639,25,2,4256,5,5
RM684,25,1,2413,1,1
RM797,25,1,3691,7,7
RM886,25,2,4950,5,4
RM912,25,1,1118,1,1
RM935,25,1,2096,2,2
RM966,25,1,3669,7,3
RM994,25,2,6232,6,3
RM1004,25,1,3229,7,3
RM1022,25,1,4400,6,3
RM1175,25,2,5206,7,7
RM1412,25,1,2187,6,2
RM1414,25,1,3977,7,2
RM1434,25,2,4907,6,5
RM043,26,1,2293,1,1
RM055,26,2,4157,5,2
RM126,26,1,2368,5,5
RM135,26,1,2942,8,8
RM279,26,2,6397,6,6
RM285,26,2,4741,5,5
RM289,26,1,2373,5,3
RM294,26,2,5828,8,8
RM356,26,2,5296,8,8
RM383,26,1,3102,7,6
RM419,26,1,2886,3,3
RM454,26,1,2741,8,7
RM461,26,2,4306,8,0
RM464,26,1,2340,1,1
RM476,26,2,6272,6,5
RM506,26,1,2659,3,3
RM572,26,1,4364,5,2
RM574,26,2,5326,6,4
RM615,26,1,2366,8,8
RM686,26,2,4294,7,7
RM734,26,2,5472,8,8
RM749,26,2,4969,7,2
RM763,26,1,2042,6,3
RM770,26,1,2007,5,5
RM782,26,1,3955,6,5
RM798,26,1,2377,1,1
RM844,26,1,4420,8,8
RM913,26,1,2875,8,8
RM999,26,1,3904,5,4
RM1005,26,1,3578,8,7
RM1119,26,1,2061,1,1
RM1207,26,1,2570,7,7
RM1225,26,1,2305,3,3
RM1298,26,1,2148,6,5
RM1310,26,2,4684,5,5
RM1350,26,1,2933,1,1
RM1362,26,1,2544,8,7
RM1387,26,1,2867,8,7
RM1465,26,1,2966,5,4
RM1465,26,1,2966,5,4
RM005,27,1,3468,6,2
RM042,27,1,2341,1,1
RM044,27,3,8726,9,9
RM162,27,1,2024,6,2
RM165,27,1,2566,1,1
RM171,27,1,3058,6,5
RM192,27,1,2279,7,7
RM201,27,2,4298,6,2
RM213,27,2,9981,7,7
RM319,27,1,2478,4,4
RM321,27,2,4478,5,5
RM332,27,2,6349,6,5
RM340,27,2,6214,8,8
RM374,27,1,3816,5,5
RM486,27,1,2187,6,5
RM496,27,1,3041,5,4
RM513,27,1,2045,5,4
RM522,27,2,4647,6,6
RM531,27,3,7412,9,9
RM538,27,3,8793,9,9
RM555,27,2,6811,9,7
RM577,27,2,4342,5,4
RM616,27,1,1706,0,0
RM671,27,1,2318,1,1
RM718,27,1,2811,4,2
RM740,27,2,4227,4,3
RM787,27,1,4621,3,3
RM834,27,1,2539,4,4
RM890,27,1,2235,9,9
RM903,27,1,2517,5,5
RM971,27,1,2534,5,1
RM975,27,2,5071,8,6
RM997,27,2,5769,6,6
RM998,27,1,2394,8,8
RM1018,27,1,2099,6,5
RM1150,27,1,4066,7,7
RM1170,27,1,3517,5,3
RM1171,27,1,2580,6,4
RM1249,27,1,3445,6,6
RM1318,27,1,2379,6,5
RM1329,27,2,3540,9,9
RM1335,27,1,4774,8,7
RM1351,27,2,6500,9,8
RM1368,27,1,2226,6,5
RM1380,27,1,2863,1,1
RM1394,27,2,4105,7,7
RM1468,27,2,6142,6,6
RM1468,27,2,6142,6,6
RM015,28,1,2028,6,4
RM052,28,1,3441,2,2
RM098,28,2,4221,5,5
RM163,28,1,2713,5,5
RM265,28,1,3485,5,0
RM273,28,1,2070,5,5
RM290,28,1,3310,5,5
RM303,28,2,5661,9,8
RM324,28,1,3464,5,3
RM375,28,2,5253,7,7
RM405,28,2,4558,10,10
RM541,28,1,2216,10,7
RM599,28,1,4382,5,2
RM613,28,2,4779,8,8
RM630,28,1,4936,6,5
RM660,28,2,4908,4,4
RM669,28,1,2377,6,2
RM765,28,1,1052,1,1
RM781,28,3,8722,10,10
RM789,28,2,3660,10,8
RM794,28,1,2207,4,4
RM801,28,1,2596,1,1
RM810,28,3,7655,10,9
RM820,28,1,3201,6,5
RM828,28,1,2703,3,3
RM843,28,1,2515,1,1
RM869,28,1,3196,6,6
RM922,28,1,2154,5,4
RM930,28,1,3867,2,2
RM934,28,1,2080,5,3
RM945,28,2,6674,10,9
RM985,28,2,4724,5,5
RM1042,28,2,8463,6,5
RM1057,28,1,2909,5,3
RM1069,28,1,2561,8,0
RM1070,28,1,1563,1,1
RM1071,28,2,4898,5,4
RM1074,28,2,6549,8,8
RM1137,28,1,2408,1,1
RM1152,28,2,4877,6,5
RM1284,28,1,2044,5,5
RM1308,28,1,3591,3,3
RM1324,28,1,2706,3,3
RM1338,28,1,2856,1,1
RM1365,28,2,6834,7,7
RM1370,28,2,9854,6,2
RM1382,28,1,2144,5,5
RM1391,28,1,2367,6,4
RM012,29,2,4193,10,9
RM016,29,3,9980,10,10
RM072,29,1,2703,6,5
RM156,29,2,4319,10,10
RM206,29,3,7639,10,10
RM218,29,1,2058,7,6
RM228,29,3,7918,11,11
RM230,29,1,2389,4,4
RM253,29,1,2340,6,6
RM255,29,2,6931,10,3
RM266,29,2,6644,10,0
RM283,29,2,4554,10,10
RM337,29,1,2119,7,7
RM338,29,1,3983,4,3
RM344,29,2,8268,7,7
RM350,29,2,4649,4,4
RM372,29,1,2201,6,3
RM422,29,1,2546,6,2
RM455,29,2,4262,8,3
RM508,29,2,5561,6,6
RM520,29,1,2720,10,10
RM547,29,1,2642,1,1
RM556,29,1,2297,2,2
RM573,29,2,4335,11,8
RM590,29,1,2319,1,1
RM595,29,1,2700,10,10
RM646,29,1,2800,5,3
RM658,29,1,2532,8,4
RM698,29,1,2157,3,3
RM712,29,1,2404,3,0
RM809,29,1,2514,11,7
RM824,29,1,3291,8,7
RM826,29,2,5056,10,10
RM837,29,3,7336,11,11
RM853,29,1,3131,10,10
RM860,29,1,2168,6,5
RM894,29,1,3760,3,3
RM904,29,2,6623,6,6
RM933,29,1,3339,10,7
RM1006,29,3,7988,10,10
RM1008,29,3,7553,9,8
RM1058,29,2,5765,7,5
RM1064,29,2,8620,10,10
RM1073,29,1,3180,4,3
RM1078,29,1,2362,11,9
RM1091,29,2,9715,9,7
RM1105,29,1,2451,5,1
RM1123,29,1,4723,10,10
RM1126,29,2,8853,6,6
RM1173,29,2,5869,8,5
RM1189,29,2,4187,10,10
RM1220,29,1,2974,9,5
RM1250,29,1,2760,2,2
RM1251,29,2,6294,10,3
RM1259,29,1,2109,1,1
RM1314,29,1,2335,4,2
RM1319,29,1,3812,11,11
RM1325,29,2,6384,11,7
RM1330,29,1,2804,1,1
RM1333,29,1,2439,1,1
RM1344,29,1,2062,11,3
RM1366,29,1,1091,1,1
RM1388,29,2,5373,6,5
RM1443,29,1,4787,4,2
RM1460,29,2,4025,10,4
RM1461,29,1,3785,5,5
RM1461,29,1,3785,5,5
RM008,30,1,2693,1,1
RM033,30,1,2206,10,10
RM045,30,2,4011,12,12
RM081,30,2,5126,10,10
RM089,30,2,4152,11,11
RM093,30,2,5209,11,11
RM121,30,1,2613,10,10
RM140,30,2,6347,12,11
RM144,30,1,2632,5,5
RM146,30,1,3204,8,3
RM147,30,1,2720,6,5
RM168,30,3,9419,12,10
RM174,30,2,3072,12,12
RM212,30,3,8474,12,11
RM215,30,1,2657,8,5
RM217,30,2,6696,9,6
RM325,30,2,5775,11,10
RM339,30,2,6118,10,10
RM355,30,2,4736,4,2
RM382,30,1,2476,1,1
RM386,30,1,2285,3,1
RM403,30,2,6577,6,5
RM411,30,2,6091,11,5
RM420,30,1,2097,9,5
RM424,30,3,8412,10,9
RM427,30,1,2564,12,11
RM438,30,1,2983,4,3
RM481,30,1,2033,1,1
RM502,30,1,2083,1,1
RM546,30,2,5304,10,8
RM582,30,1,3833,7,2
RM603,30,2,6877,12,0
RM624,30,1,3761,10,5
RM703,30,3,7264,10,8
RM721,30,1,2132,7,5
RM731,30,3,11416,9,8
RM733,30,1,2422,4,3
RM783,30,2,9957,7,6
RM845,30,2,6578,10,10
RM866,30,2,4115,8,4
RM875,30,2,3491,10,10
RM887,30,1,3579,12,11
RM932,30,2,4695,10,8
RM942,30,2,4627,10,9
RM1014,30,2,4779,8,3
RM1050,30,2,5301,4,2
RM1053,30,1,1274,1,1
RM1065,30,1,2064,6,5
RM1107,30,2,9714,10,10
RM1110,30,3,9250,9,4
RM1142,30,1,2141,6,6
RM1234,30,1,2862,10,10
RM1245,30,1,4968,10,9
RM1247,30,1,2180,6,4
RM1252,30,3,7140,12,7
RM1260,30,2,5294,10,7
RM1297,30,3,9667,9,7
RM1339,30,1,1081,1,1
RM1413,30,1,3748,12,12
RM013,31,1,2911,5,5
RM059,31,2,5915,10,7
RM073,31,1,2501,1,1
RM076,31,2,4424,11,11
RM125,31,2,6172,12,7
RM133,31,2,4559,4,2
RM181,31,1,3929,7,4
RM225,31,2,4345,6,5
RM260,31,1,3479,6,5
RM267,31,2,5582,10,9
RM293,31,1,2789,2,2
RM304,31,2,6929,10,8
RM310,31,1,4821,6,5
RM311,31,2,6410,9,2
RM313,31,1,2695,3,2
RM322,31,2,7547,13,7
RM326,31,3,8943,10,10
RM343,31,3,7143,11,11
RM370,31,1,2657,3,2
RM395,31,2,4306,13,13
RM400,31,1,2218,4,4
RM435,31,3,10648,13,13
RM440,31,3,9824,12,1
RM451,31,2,6582,10,6
RM457,31,3,11557,10,5
RM483,31,2,4233,9,3
RM485,31,2,5460,13,7
RM645,31,1,2356,8,6
RM676,31,1,2329,13,7
RM680,31,2,6932,9,9
RM691,31,2,5855,10,9
RM710,31,1,2321,4,3
RM727,31,2,4148,4,4
RM819,31,1,2791,3,2
RM832,31,1,2610,2,2
RM896,31,2,6833,6,6
RM897,31,2,6812,10,10
RM951,31,3,9852,10,10
RM953,31,1,2302,3,3
RM981,31,1,2785,3,1
RM986,31,2,6179,10,10
RM1013,31,1,1359,1,1
RM1017,31,1,1261,1,1
RM1031,31,3,10793,13,13
RM1034,31,3,7446,10,10
RM1036,31,1,2109,8,3
RM1037,31,1,3722,7,2
RM1086,31,1,4084,7,7
RM1145,31,2,5332,10,5
RM1192,31,2,5476,10,10
RM1228,31,1,3477,6,5
RM1240,31,2,5238,9,5
RM1248,31,2,8346,6,5
RM1258,31,3,8161,10,1
RM1275,31,2,5468,13,12
RM1307,31,3,9637,9,3
RM1313,31,1,2956,2,1
RM1342,31,2,4197,10,10
RM1359,31,2,6583,8,5
RM1361,31,1,3978,4,2
RM1383,31,1,3065,4,4
RM1390,31,2,5003,10,10
RM1396,31,2,5617,10,10
RM1403,31,1,1129,1,1
RM1406,31,3,11031,13,11
RM1418,31,1,3067,3,2
RM1464,31,2,9936,10,9
RM1464,31,2,9936,10,9
RM006,32,1,3068,8,7
RM017,32,1,3298,7,6
RM027,32,1,3919,10,10
RM061,32,2,6162,9,9
RM074,32,2,6220,10,10
RM095,32,2,5010,12,11
RM102,32,1,2956,1,1
RM141,32,1,4200,10,5
RM145,32,2,4668,9,8
RM155,32,3,8998,9,9
RM170,32,1,3038,8,5
RM211,32,3,10400,14,14
RM239,32,1,3931,6,4
RM240,32,1,3730,4,3
RM242,32,2,4465,4,3
RM261,32,1,2794,5,5
RM263,32,2,2176,9,6
RM307,32,2,5484,13,13
RM320,32,2,5228,13,13
RM323,32,2,5055,10,7
RM352,32,1,2370,8,8
RM470,32,2,4707,6,4
RM501,32,2,6322,6,6
RM528,32,2,5396,10,10
RM532,32,3,11159,10,7
RM559,32,2,5309,10,10
RM601,32,2,6162,14,14
RM623,32,2,4403,8,5
RM627,32,2,5175,9,5
RM638,32,1,2314,4,3
RM642,32,2,6524,10,10
RM657,32,1,2795,1,1
RM683,32,1,2332,5,3
RM693,32,2,6725,8,8
RM757,32,1,4025,10,8
RM851,32,1,2827,1,1
